"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.779624480E-1,8.908830583E-2,1.369349122E0,9.678123474E0,9.774923413E0
1.803452080E-1,1.082411110E-1,1.364560843E0,9.692488670E0,9.788670955E0
1.827256250E-1,1.082411110E-1,1.354984522E0,9.730792999E0,9.825275141E0
1.851073960E-1,9.387651086E-2,1.350196242E0,9.730792999E0,9.824468183E0
1.874883330E-1,1.130293161E-1,1.345408201E0,9.687700272E0,9.781330963E0
1.898700520E-1,1.178174913E-1,1.350196242E0,9.668547630E0,9.763079644E0
1.922070830E-1,1.082411110E-1,1.374137282E0,9.716429710E0,9.813713656E0
1.946534370E-1,1.273939013E-1,1.354984522E0,9.711641312E0,9.806538086E0
1.970171870E-1,7.472373545E-2,1.340619922E0,9.716429710E0,9.808764027E0
1.993985930E-1,1.178174913E-1,1.364560843E0,9.687700272E0,9.784040260E0
2.017814580E-1,7.951192558E-2,1.388501883E0,9.702064514E0,9.801240506E0
2.041616660E-1,9.387651086E-2,1.354984522E0,9.702064514E0,9.796675543E0
2.065429680E-1,6.993553042E-2,1.364560843E0,9.721217155E0,9.816770358E0
2.089250520E-1,6.514734030E-2,1.378925562E0,9.706851959E0,9.804522163E0
2.113065620E-1,5.557093769E-2,1.350196242E0,9.682910919E0,9.776752114E0
2.136857290E-1,1.082411110E-1,1.350196242E0,9.678123474E0,9.772452098E0
2.160796870E-1,7.951192558E-2,1.345408201E0,9.702064514E0,9.795228492E0
2.184494270E-1,6.514734030E-2,1.354984522E0,9.745158195E0,9.839122699E0
2.208295830E-1,8.908830583E-2,1.359772801E0,9.706851959E0,9.802035184E0
2.232114580E-1,1.034529060E-1,1.388501883E0,9.673335075E0,9.773026730E0
2.255936460E-1,1.034529060E-1,1.383713722E0,9.706851959E0,9.805526051E0
2.279766140E-1,1.034529060E-1,1.345408201E0,9.740370750E0,9.833394535E0
2.303563020E-1,5.078274012E-2,1.335831761E0,9.716429710E0,9.807957570E0
2.327384370E-1,5.078274012E-2,1.350196242E0,9.687700272E0,9.781469487E0
2.351376040E-1,8.908830583E-2,1.354984522E0,9.658969879E0,9.753954014E0
2.375666660E-1,9.387651086E-2,1.316678882E0,9.730792999E0,9.819917946E0
2.400349480E-1,9.866471589E-2,1.354984522E0,9.692488670E0,9.787239366E0
2.424969790E-1,8.430013061E-2,1.378925562E0,9.678123474E0,9.776227094E0
2.449317710E-1,1.082411110E-1,1.369349122E0,9.702064514E0,9.798820796E0
2.473593750E-1,8.430013061E-2,1.350196242E0,9.716429710E0,9.810155081E0
2.497860930E-1,4.120634496E-2,1.340619922E0,9.740370750E0,9.832282649E0
2.522137500E-1,3.162994981E-2,1.374137282E0,9.711641312E0,9.808426515E0
2.546441140E-1,7.472373545E-2,1.359772801E0,9.668547630E0,9.763983766E0
2.570721870E-1,9.866471589E-2,1.350196242E0,9.716429710E0,9.810289034E0
2.595017710E-1,9.866471589E-2,1.335831761E0,9.735582352E0,9.827295912E0
2.619301560E-1,5.557093769E-2,1.359772801E0,9.716429710E0,9.811272931E0
2.643589060E-1,1.082411110E-1,1.378925562E0,9.678123474E0,9.776462848E0
2.667870830E-1,1.034529060E-1,1.378925562E0,9.706851959E0,9.804851512E0
2.692161980E-1,1.034529060E-1,1.374137282E0,9.702064514E0,9.799439352E0
2.716454160E-1,8.908830583E-2,1.359772801E0,9.711641312E0,9.806778052E0
2.740750000E-1,8.908830583E-2,1.359772801E0,9.730792999E0,9.825744307E0
2.765036460E-1,9.387651086E-2,1.335831761E0,9.692488670E0,9.784559056E0
2.789334890E-1,9.866471589E-2,1.331043482E0,9.682910919E0,9.774465476E0
2.813628640E-1,7.472373545E-2,1.350196242E0,9.745158195E0,9.838532502E0
2.837941660E-1,6.993553042E-2,1.350196242E0,9.702064514E0,9.795814244E0
2.862234890E-1,4.599453509E-2,1.350196242E0,9.687700272E0,9.781445800E0
2.886522910E-1,9.387651086E-2,1.369349122E0,9.673335075E0,9.770227290E0
2.910820830E-1,9.866471589E-2,1.402866483E0,9.711641312E0,9.812937688E0
2.935325520E-1,1.226056963E-1,1.359772801E0,9.716429710E0,9.811881601E0
2.959649480E-1,9.387651086E-2,1.374137282E0,9.711641312E0,9.808824753E0
2.983942710E-1,6.514734030E-2,1.354984522E0,9.678123474E0,9.772732536E0
3.008401040E-1,1.178174913E-1,1.359772801E0,9.692488670E0,9.788115225E0
3.032522390E-1,1.178174913E-1,1.340619922E0,9.721217155E0,9.813929168E0
3.056817180E-1,8.430013061E-2,1.359772801E0,9.735582352E0,9.830445174E0
3.081105730E-1,6.514734030E-2,1.345408201E0,9.706851959E0,9.799864405E0
3.105416660E-1,9.387651086E-2,1.359772801E0,9.654182434E0,9.749924786E0
3.129685410E-1,1.321820915E-1,1.364560843E0,9.692488670E0,9.788964962E0
3.153976040E-1,1.034529060E-1,1.364560843E0,9.697276115E0,9.793359631E0
3.178303640E-1,8.908830583E-2,1.359772801E0,9.716429710E0,9.811520021E0
3.202565620E-1,6.993553042E-2,1.393290162E0,9.678123474E0,9.778150256E0
3.226858850E-1,1.130293161E-1,1.369349122E0,9.673335075E0,9.770430089E0
3.251146350E-1,1.034529060E-1,1.354984522E0,9.716429710E0,9.810998516E0
3.275457290E-1,1.034529060E-1,1.354984522E0,9.740370750E0,9.834709346E0
3.299731770E-1,6.035912782E-2,1.350196242E0,9.702064514E0,9.795750556E0
3.324040620E-1,8.430013061E-2,1.350196242E0,9.658969879E0,9.753247435E0
3.348302080E-1,1.034529060E-1,1.364560843E0,9.702064514E0,9.798101073E0
3.372590620E-1,1.321820915E-1,1.331043482E0,9.726005554E0,9.817552286E0
3.396877080E-1,6.993553042E-2,1.335831761E0,9.711641312E0,9.803331803E0
3.421184890E-1,7.472373545E-2,1.350196242E0,9.673335075E0,9.767396020E0
3.445714060E-1,7.951192558E-2,1.350196242E0,9.658969879E0,9.753207225E0
3.470031250E-1,9.387651086E-2,1.345408201E0,9.716429710E0,9.809584209E0
3.493889060E-1,8.908830583E-2,1.340619922E0,9.745158195E0,9.837342464E0
3.518129160E-1,5.557093769E-2,1.335831761E0,9.726005554E0,9.817470075E0
3.541949480E-1,6.514734030E-2,1.378925562E0,9.711641312E0,9.809263828E0
3.565768230E-1,1.178174913E-1,1.369349122E0,9.654182434E0,9.751524827E0
