Cidade,UF,Capital,Área,Pop. 2010 (hab),Pop. 2019 (hab),Dens. demo. 2010 (hab/km2),Dens. demo. 2019 (hab/km2),IDHM 2010,PIB per capita 2017 (R$),Fundação
Igarapé,Minas Gerais,não,110.942,35065,43045,316.07,388.0,0.698,15758.76,
Igaratinga,Minas Gerais,não,218.343,9264,10860,42.43,49.74,0.651,32238.06,
Ijaci,Minas Gerais,não,105.246,5859,6550,55.67,62.24,0.714,51827.58,
Inconfidentes,Minas Gerais,não,149.611,6907,7328,46.17,48.98,0.692,12928.26,
Ingaí,Minas Gerais,não,305.591,2628,2767,8.60,9.05,0.697,21049.91,
Itacambira,Minas Gerais,não,1788.445,4989,5385,2.79,3.01,0.628,10804.02,
Itamarati de Minas,Minas Gerais,não,94.568,4078,4355,43.13,46.05,0.688,12954.40,
Itambé do Mato Dentro,Minas Gerais,não,380.340,2282,2081,6.00,5.47,0.634,11674.44,
Itapeva,Minas Gerais,não,177.347,8663,9783,48.85,55.16,0.720,31479.52,
Itatiaiuçu,Minas Gerais,não,295.145,9928,11146,33.64,37.76,0.677,87446.99,
Japaraíba,Minas Gerais,não,172.141,3938,4350,22.88,25.27,0.721,15784.89,
Joaquim Felício,Minas Gerais,não,790.935,4302,4695,5.44,5.94,0.637,8649.46,
Lagoa dos Patos,Minas Gerais,não,600.547,4227,4102,7.04,6.83,0.634,10518.36,
Lagoa Formosa,Minas Gerais,não,840.920,17163,18052,20.41,21.47,0.703,17690.03,
Leandro Ferreira,Minas Gerais,não,352.005,3203,3229,9.10,9.17,0.710,11672.58,
Maripá de Minas,Minas Gerais,não,77.338,2788,2973,36.05,38.44,0.680,19348.72,
Marmelópolis,Minas Gerais,não,107.902,2968,2755,27.51,25.53,0.650,10673.03,
Materlândia,Minas Gerais,não,280.530,4595,4459,16.38,15.89,0.597,9555.25,
Medeiros,Minas Gerais,não,946.437,3445,3802,3.64,4.02,0.711,32096.93,
Monjolos,Minas Gerais,não,650.911,2362,2220,3.63,3.41,0.650,17738.77,
Morro da Garça,Minas Gerais,não,414.772,2658,2462,6.41,5.94,0.648,18214.30,
Nacip Raydan,Minas Gerais,não,233.493,3154,3220,13.51,13.79,0.585,8248.61,
Olaria,Minas Gerais,não,178.242,1976,1747,11.09,9.8,0.636,12512.91,
Olímpio Noronha,Minas Gerais,não,54.633,2532,2787,46.36,51.01,0.674,13241.81,
Onça de Pitangui,Minas Gerais,não,246.976,3055,3148,12.37,12.75,0.663,15385.63,
Pavão,Minas Gerais,não,601.190,8591,8450,14.29,14.06,0.627,7982.61,
Pedra do Indaiá,Minas Gerais,não,347.920,3875,3972,11.14,11.42,0.708,19679.99,
Pedra Dourada,Minas Gerais,não,69.990,2190,2504,31.30,35.78,0.655,14257.94,
Pedrinópolis,Minas Gerais,não,357.891,3489,3635,9.75,10.16,0.729,29115.40,
Pedro Teixeira,Minas Gerais,não,112.959,1784,1807,15.80,16.0,0.637,11599.77,
Piedade de Ponte Nova,Minas Gerais,não,83.733,4061,4140,48.51,49.44,0.639,11866.11,
Piedade dos Gerais,Minas Gerais,não,259.638,4639,4982,17.87,19.19,0.626,12476.40,
Piranguçu,Minas Gerais,não,203.619,5216,5472,25.62,26.87,0.685,9646.42,
Piranguinho,Minas Gerais,não,124.803,8016,8596,64.23,68.88,0.717,11823.55,
Presidente Juscelino,Minas Gerais,não,695.882,3910,3641,5.62,5.23,0.614,11105.91,
Presidente Kubitschek,Minas Gerais,não,189.235,2959,3002,15.64,15.86,0.595,9036.31,
Prudente de Morais,Minas Gerais,não,124.189,9572,10733,77.08,86.42,0.690,13664.38,
Queluzito,Minas Gerais,não,153.560,1861,1939,12.12,12.63,0.682,14891.04,
Ritápolis,Minas Gerais,não,404.805,4926,4604,12.17,11.37,0.653,14299.08,
Rochedo de Minas,Minas Gerais,não,79.402,2116,2305,26.65,29.03,0.684,11264.61,
Rodeiro,Minas Gerais,não,72.673,6866,8109,94.49,111.58,0.668,52153.01,
Romaria,Minas Gerais,não,407.557,3594,3533,8.82,8.67,0.708,37536.63,
Rubelita,Minas Gerais,não,1110.295,7772,5995,7.00,5.4,0.582,8330.69,
Santa Efigênia de Minas,Minas Gerais,não,131.965,4600,4409,34.86,33.41,0.607,8712.77,
Santa Fé de Minas,Minas Gerais,não,2917.448,3967,3846,1.36,1.32,0.615,9504.73,
Santana da Vargem,Minas Gerais,não,172.444,7230,7100,41.93,41.17,0.698,20419.60,
Santana do Manhuaçu,Minas Gerais,não,347.362,8583,8674,24.71,24.97,0.621,12404.81,
Santana do Riacho,Minas Gerais,não,677.207,4022,4295,5.94,6.34,0.665,14240.90,
Santana dos Montes,Minas Gerais,não,196.565,3821,3777,19.44,19.22,0.647,8416.57,
Santa Rita do Itueto,Minas Gerais,não,485.081,5694,5489,11.74,11.32,0.607,22114.49,
Santa Rosa da Serra,Minas Gerais,não,284.334,3224,3350,11.34,11.78,0.705,16179.50,
Santo Antônio do Itambé,Minas Gerais,não,305.737,4133,3838,13.52,12.55,0.558,8576.25,
Santo Antônio do Jacinto,Minas Gerais,não,503.706,11781,11640,23.39,23.11,0.574,7441.49,
Santo Antônio do Rio Abaixo,Minas Gerais,não,107.269,1777,1765,16.57,16.45,0.669,12245.62,
Santo Hipólito,Minas Gerais,não,430.656,3238,3087,7.52,7.17,0.657,10460.96,
São Bento Abade,Minas Gerais,não,80.403,4577,5286,56.93,65.74,0.672,11813.87,
São Francisco de Paula,Minas Gerais,não,316.822,6482,6527,20.46,20.6,0.660,14430.39,
São Geraldo da Piedade,Minas Gerais,não,152.336,4388,3962,28.81,26.01,0.600,8567.92,
São Gonçalo do Rio Abaixo,Minas Gerais,não,363.828,9776,10920,26.87,30.01,0.667,289925.44,
São João do Oriente,Minas Gerais,não,120.122,7873,7498,65.55,62.42,0.648,10189.22,
São José da Varginha,Minas Gerais,não,205.501,4198,5004,20.43,24.35,0.704,17214.51,
São José do Mantimento,Minas Gerais,não,54.701,2591,2791,47.38,51.02,0.657,11234.10,
São Pedro do Suaçuí,Minas Gerais,não,308.106,5570,5246,18.08,17.03,0.622,10546.80,
São Sebastião da Bela Vista,Minas Gerais,não,167.428,4955,5504,29.60,32.87,0.692,62462.42,
São Sebastião do Oeste,Minas Gerais,não,408.090,5803,6775,14.22,16.6,0.626,45790.88,
São Sebastião do Rio Preto,Minas Gerais,não,128.002,1612,1506,12.60,11.77,0.632,11863.16,
São Sebastião do Rio Verde,Minas Gerais,não,90.848,2110,2241,23.23,24.67,0.676,12084.18,
São Tomé das Letras,Minas Gerais,não,369.747,6655,7089,18.00,19.17,0.667,12610.45,
Sardoá,Minas Gerais,não,141.904,5593,6300,39.42,44.4,0.636,9503.11,
Senador Cortes,Minas Gerais,não,98.336,1988,2005,20.22,20.39,0.674,13078.74,
Senador José Bento,Minas Gerais,não,93.892,1868,1502,19.90,16.0,0.684,13565.68,
Senador Modestino Gonçalves,Minas Gerais,não,952.055,4569,4156,4.80,4.37,0.620,20881.59,
Sericita,Minas Gerais,não,166.012,7128,7326,42.94,44.13,0.560,9538.21,
Serra Azul de Minas,Minas Gerais,não,218.595,4221,4293,19.31,19.64,0.557,7279.88,
Serra da Saudade,Minas Gerais,não,335.659,815,781,2.43,2.33,0.677,23499.28,
Serra dos Aimorés,Minas Gerais,não,213.574,8412,8699,39.39,40.73,0.651,9492.86,
Silveirânia,Minas Gerais,não,157.456,2191,2261,13.92,14.36,0.652,11794.57,
Simão Pereira,Minas Gerais,não,135.689,2537,2615,18.70,19.27,0.638,27469.64,
Tapira,Minas Gerais,não,1179.248,4115,4773,3.49,4.05,0.712,146514.59,
Taquaraçu de Minas,Minas Gerais,não,329.287,3793,4077,11.52,12.38,0.651,11591.17,
Três Marias,Minas Gerais,não,2678.253,28309,32356,10.57,12.08,0.752,52625.97,
Turvolândia,Minas Gerais,não,221.000,4658,5040,21.08,22.81,0.696,22528.68,
Ubaí,Minas Gerais,não,820.524,11684,12533,14.24,15.27,0.609,7446.04,
Wenceslau Braz,Minas Gerais,não,102.487,2552,2552,24.91,24.9,0.678,9957.83,
Casa Grande,Minas Gerais,não,157.727,2244,2257,14.23,14.31,0.652,26223.59,
Cedro do Abaeté,Minas Gerais,não,283.211,1209,1164,4.27,4.11,0.678,14463.13,
Frei Inocêncio,Minas Gerais,não,469.557,8921,9611,19.00,20.47,0.648,9698.61,
Itacarambi,Minas Gerais,não,1225.273,17717,18153,14.46,14.82,0.641,10274.98,
Rio Manso,Minas Gerais,não,231.540,5276,5832,22.79,25.19,0.648,14003.50,
Santana do Garambéu,Minas Gerais,não,203.074,2233,2458,11.00,12.1,0.667,11762.91,
São Romão,Minas Gerais,não,2434.004,10271,12337,4.22,5.07,0.640,11659.41,
Uberaba,Minas Gerais,não,4523.957,296002,333783,65.43,73.78,0.772,40066.32,
Alagoa,Minas Gerais,não,161.356,2709,2674,16.79,16.57,0.649,12889.85,
Bandeira,Minas Gerais,não,483.789,4987,4795,10.31,9.91,0.599,8907.34,
Canaã,Minas Gerais,não,174.900,4627,4563,26.46,26.09,0.649,14277.50,
Carbonita,Minas Gerais,não,1456.095,9144,9405,6.28,6.46,0.638,13447.58,
Chapada do Norte,Minas Gerais,não,830.833,15187,15356,18.28,18.48,0.598,6093.09,
Claro dos Poções,Minas Gerais,não,720.424,7773,7551,10.79,10.48,0.670,8005.11,
Nova União,Minas Gerais,não,172.131,5554,5725,32.27,33.26,0.662,14155.82,
Mirabela,Minas Gerais,não,723.278,13040,13589,18.03,18.79,0.665,8945.95,
Santa Rita de Ibitipoca,Minas Gerais,não,324.234,3582,3425,11.05,10.56,0.630,15926.55,
Varzelândia,Minas Gerais,não,814.994,19119,19320,23.46,23.71,0.594,7637.08,
Couto de Magalhães de Minas,Minas Gerais,não,485.654,4205,4410,8.66,9.08,0.659,9476.58,
Diamantina,Minas Gerais,não,3891.659,45882,47723,11.79,12.26,0.716,15046.26,
Alto Rio Doce,Minas Gerais,não,518.053,12158,11000,23.47,21.23,0.620,13862.48,
Capetinga,Minas Gerais,não,297.937,7087,6920,23.79,23.23,0.675,16517.06,
Espinosa,Minas Gerais,não,1868.970,31118,31617,16.65,16.92,0.627,8512.66,
Virginópolis,Minas Gerais,não,439.878,10570,10510,24.03,23.89,0.675,12967.44,
Belmiro Braga,Minas Gerais,não,393.086,3404,3429,8.66,8.72,0.660,13806.15,
Riacho dos Machados,Minas Gerais,não,1315.540,9353,9481,7.11,7.21,0.627,21278.70,
Tumiritinga,Minas Gerais,não,500.073,6290,6732,12.58,13.46,0.626,8063.40,
Marilac,Minas Gerais,não,158.809,4219,4115,26.57,25.91,0.615,9889.69,
Manhumirim,Minas Gerais,não,182.900,21382,22707,116.91,124.15,0.697,19664.28,
Ouro Fino,Minas Gerais,não,533.714,31569,33639,59.15,63.03,0.722,19507.16,
Santa Maria do Suaçuí,Minas Gerais,não,624.047,14396,14615,23.07,23.42,0.640,8955.42,
Santa Luzia,Minas Gerais,não,235.205,202836,219134,862.38,931.67,0.715,17291.87,
Fama,Minas Gerais,não,86.024,2350,2377,27.32,27.63,0.717,16841.75,
Itajubá,Minas Gerais,não,294.835,90658,96869,307.49,328.55,0.787,31039.44,
Nova Era,Minas Gerais,não,361.926,17528,17578,48.43,48.57,0.709,17869.48,
Passabém,Minas Gerais,não,94.183,1765,1649,18.75,17.51,0.642,11386.19,
São José da Safira,Minas Gerais,não,213.881,4074,4268,19.05,19.96,0.583,8927.95,
São José do Divino,Minas Gerais,não,328.704,3832,3860,11.66,11.74,0.658,9288.93,
Tocantins,Minas Gerais,não,173.866,15823,16659,91.01,95.82,0.688,16781.56,
Vargem Alegre,Minas Gerais,não,116.664,6460,6480,55.38,55.54,0.631,8720.94,
Felixlândia,Minas Gerais,não,1554.627,14116,15336,9.08,9.86,0.648,13721.36,
Itueta,Minas Gerais,não,452.676,5830,6051,12.88,13.37,0.635,13296.66,
Grão Mogol,Minas Gerais,não,3885.294,15036,15836,3.87,4.08,0.604,17932.81,
Caldas,Minas Gerais,não,711.414,13630,14480,19.16,20.35,0.687,15723.95,
São Geraldo,Minas Gerais,não,185.578,10262,12366,55.30,66.64,0.651,17187.78,
Monte Sião,Minas Gerais,não,291.594,21201,23803,72.71,81.63,0.724,17618.42,
Inimutaba,Minas Gerais,não,527.060,6756,7515,12.82,14.26,0.664,10642.48,
Iraí de Minas,Minas Gerais,não,356.264,6466,6987,18.15,19.61,0.695,30637.59,
Mathias Lobato,Minas Gerais,não,172.297,3370,3203,19.56,18.59,0.612,9629.40,
São Lourenço,Minas Gerais,não,58.019,41657,45851,717.99,790.28,0.759,21489.99,
Poço Fundo,Minas Gerais,não,474.244,15958,16791,33.65,35.41,0.691,15335.67,
Patrocínio,Minas Gerais,não,2874.344,82464,90757,28.69,31.57,0.729,30089.34,
Rio Doce,Minas Gerais,não,112.094,2464,2610,21.99,23.28,0.664,13716.88,
Itambacuri,Minas Gerais,não,1419.209,22806,23211,16.07,16.35,0.634,10977.06,
Montalvânia,Minas Gerais,não,1503.755,15864,14877,10.55,9.89,0.613,8089.45,
Nova Módica,Minas Gerais,não,375.973,3789,3600,10.08,9.58,0.630,11320.48,
Durandé,Minas Gerais,não,217.461,7421,7841,34.13,36.06,0.645,10908.03,
Araporã,Minas Gerais,não,295.837,6144,6869,20.77,23.22,0.708,175526.34,
Carandaí,Minas Gerais,não,487.280,23418,25501,48.06,52.33,0.697,19665.40,
Carneirinho,Minas Gerais,não,2063.315,9470,10027,4.59,4.86,0.741,31620.56,
Divisópolis,Minas Gerais,não,572.926,8972,11019,15.66,19.23,0.609,6533.11,
Jaíba,Minas Gerais,não,2635.467,33707,38909,12.79,14.76,0.638,14639.28,
Lagoa Grande,Minas Gerais,não,1236.301,8629,9532,6.98,7.71,0.679,24161.20,
Leopoldina,Minas Gerais,não,943.077,51133,52587,54.22,55.76,0.726,19468.36,
Pedras de Maria da Cruz,Minas Gerais,não,1525.648,10313,12107,6.76,7.94,0.614,7417.90,
Santa Bárbara do Leste,Minas Gerais,não,107.402,7682,8147,71.53,75.86,0.613,9700.87,
São João do Manhuaçu,Minas Gerais,não,143.096,10245,11559,71.60,80.78,0.650,13065.26,
Juatuba,Minas Gerais,não,97.172,21673,26946,223.04,277.3,0.717,46449.90,
Santana do Paraíso,Minas Gerais,não,276.067,27264,34663,98.76,125.56,0.685,14932.67,
Bela Vista de Minas,Minas Gerais,não,109.143,10004,10255,91.66,93.96,0.674,20977.84,
Ipatinga,Minas Gerais,não,164.884,239467,263410,1452.34,1597.55,0.771,36993.39,
João Monlevade,Minas Gerais,não,99.158,73609,79910,742.35,805.89,0.758,32537.18,
Palmópolis,Minas Gerais,não,433.154,6930,5507,16.00,12.71,0.565,7647.43,
Timóteo,Minas Gerais,não,144.381,81243,89842,562.70,622.26,0.770,32349.07,
Baependi,Minas Gerais,não,750.554,18306,19148,24.39,25.51,0.681,13602.87,
Eugenópolis,Minas Gerais,não,309.395,10541,11275,34.07,36.44,0.675,13628.56,
Monte Belo,Minas Gerais,não,421.283,13059,13166,31.00,31.25,0.688,21033.72,
Pedralva,Minas Gerais,não,217.989,11466,11195,52.60,51.36,0.675,11146.12,
Cambuquira,Minas Gerais,não,246.380,12602,12814,51.15,52.01,0.699,17214.96,
Cristina,Minas Gerais,não,311.330,10208,10242,32.79,32.9,0.668,17330.57,
Passos,Minas Gerais,não,1338.070,106296,114679,79.44,85.7,0.756,20861.28,
Muriaé,Minas Gerais,não,841.693,100767,108763,119.72,129.22,0.734,19349.51,
São João Nepomuceno,Minas Gerais,não,407.427,25056,26361,61.50,64.7,0.708,15595.77,
Carvalhópolis,Minas Gerais,não,81.101,3341,3579,41.20,44.13,0.724,14188.04,
Tombos,Minas Gerais,não,285.124,9537,8022,33.45,28.14,0.718,10383.57,
Brasilândia de Minas,Minas Gerais,não,2509.694,14229,16538,5.67,6.59,0.674,13612.32,
Extrema,Minas Gerais,não,244.575,28598,36225,116.93,148.11,0.732,219239.07,
Medina,Minas Gerais,não,1435.903,21021,20820,14.64,14.5,0.624,10065.40,
Santa Rita de Jacutinga,Minas Gerais,não,420.940,4992,4884,11.86,11.6,0.682,10837.31,
Santa Rita do Sapucaí,Minas Gerais,não,352.969,37753,43260,106.96,122.56,0.721,36846.90,
Cambuí,Minas Gerais,não,244.567,26489,29551,108.31,120.83,0.751,46222.69,
Palma,Minas Gerais,não,316.476,6544,6616,20.68,20.91,0.703,10209.62,
Patos de Minas,Minas Gerais,não,3190.456,138752,152488,43.49,47.8,0.765,29020.34,
Patrocínio do Muriaé,Minas Gerais,não,108.246,5286,5684,48.84,52.51,0.682,13089.83,
Prados,Minas Gerais,não,264.115,8390,9031,31.77,34.19,0.689,16861.34,
Descoberto,Minas Gerais,não,213.168,4768,5013,22.37,23.52,0.680,14430.04,
São Félix de Minas,Minas Gerais,não,162.560,3381,3369,20.80,20.72,0.620,10390.00,
Juiz de Fora,Minas Gerais,não,1435.749,516280,568873,359.59,396.22,0.778,28355.07,
Lamim,Minas Gerais,não,118.602,3452,3391,29.11,28.59,0.655,11499.54,
Santa Vitória,Minas Gerais,não,3001.357,18128,19742,6.04,6.58,0.710,36716.53,
São Gonçalo do Sapucaí,Minas Gerais,não,516.683,23906,25449,46.27,49.25,0.715,23995.30,
Antônio Dias,Minas Gerais,não,787.061,9562,9318,12.15,11.84,0.645,19653.20,
Bom Despacho,Minas Gerais,não,1213.546,45240,50605,37.28,41.7,0.750,24209.87,
Cachoeira de Minas,Minas Gerais,não,304.243,11034,11547,36.27,37.95,0.706,17051.27,
Coração de Jesus,Minas Gerais,não,2225.216,26035,26602,11.70,11.95,0.642,7398.63,
Divinópolis,Minas Gerais,não,708.115,213015,238230,300.82,336.43,0.764,25695.97,
Guaxupé,Minas Gerais,não,286.398,49429,51917,172.59,181.28,0.751,36602.28,
Maria da Fé,Minas Gerais,não,202.898,14215,14095,70.06,69.47,0.702,10881.07,
Mercês,Minas Gerais,não,348.271,10368,10739,29.77,30.84,0.664,10673.14,
Paraopeba,Minas Gerais,não,625.623,22559,24540,36.06,39.22,0.694,23143.51,
Pedra Azul,Minas Gerais,não,1594.651,23840,24324,14.95,15.25,0.627,11030.79,
Pequi,Minas Gerais,não,203.991,4075,4406,19.98,21.6,0.674,13734.52,
Perdões,Minas Gerais,não,270.657,20088,21390,74.22,79.03,0.744,22308.57,
Pirapora,Minas Gerais,não,549.514,53368,56428,97.12,102.69,0.731,32391.70,
Rio Casca,Minas Gerais,não,384.381,14202,13564,36.95,35.29,0.650,12972.65,
Tupaciguara,Minas Gerais,não,1823.960,24185,25327,13.26,13.89,0.719,26988.92,
Resende Costa,Minas Gerais,não,618.312,10913,11500,17.65,18.6,0.685,13390.86,
Capitão Enéas,Minas Gerais,não,971.576,14204,15234,14.62,15.68,0.639,16680.32,
Cristais,Minas Gerais,não,628.434,11286,12798,17.96,20.36,0.692,15510.63,
Formiga,Minas Gerais,não,1501.915,65123,67683,43.36,45.06,0.755,23677.51,
Lagoa Dourada,Minas Gerais,não,476.693,12255,13009,25.71,27.29,0.676,15514.51,
Pitangui,Minas Gerais,não,569.636,25314,27989,44.44,49.13,0.725,18326.76,
Rio Espera,Minas Gerais,não,238.602,6070,5474,25.44,22.94,0.602,8014.76,
Santo Antônio do Amparo,Minas Gerais,não,488.885,17345,18525,35.48,37.89,0.672,13460.72,
Caetanópolis,Minas Gerais,não,156.039,10217,11624,65.48,74.49,0.706,22168.57,
Mantena,Minas Gerais,não,685.208,27113,27644,39.57,40.34,0.675,13394.93,
Santa Bárbara,Minas Gerais,não,684.505,27893,31324,40.75,45.76,0.707,24958.46,
Santo Antônio do Aventureiro,Minas Gerais,não,202.032,3537,3602,17.51,17.83,0.671,12127.72,
Capinópolis,Minas Gerais,não,620.716,15288,16173,24.63,26.06,0.723,23546.48,
Ervália,Minas Gerais,não,357.489,17945,18895,50.20,52.85,0.625,14565.84,
Mutum,Minas Gerais,não,1250.824,26655,26979,21.31,21.57,0.644,13595.35,
Lajinha,Minas Gerais,não,431.920,19609,19923,45.40,46.13,0.661,15429.37,
Arceburgo,Minas Gerais,não,162.875,9508,10772,58.38,66.14,0.683,25309.52,
Caratinga,Minas Gerais,não,1258.479,85224,92062,67.72,73.15,0.706,17516.07,
Cascalho Rico,Minas Gerais,não,367.308,2857,3075,7.78,8.37,0.721,15576.19,
Itamarandiba,Minas Gerais,não,2735.573,32170,34735,11.76,12.7,0.646,11647.86,
Itamogi,Minas Gerais,não,243.714,10350,10192,42.47,41.82,0.674,16033.53,
São João Batista do Glória,Minas Gerais,não,547.908,6887,7453,12.57,13.6,0.724,19031.36,
São João do Pacuí,Minas Gerais,não,415.922,4059,4419,9.76,10.62,0.625,7730.78,
Monte Santo de Minas,Minas Gerais,não,594.632,21234,21524,35.71,36.2,0.710,16287.85,
Limeira do Oeste,Minas Gerais,não,1319.036,6885,7536,5.22,5.71,0.710,45754.38,
São Pedro dos Ferros,Minas Gerais,não,402.739,8356,7781,20.75,19.32,0.659,13455.43,
Guaraciaba,Minas Gerais,não,348.596,10224,10324,29.33,29.62,0.623,8156.44,
Montes Claros,Minas Gerais,não,3589.811,364042,409341,101.41,114.03,0.770,22302.13,
Três Pontas,Minas Gerais,não,689.794,53859,56746,78.08,82.27,0.731,21971.22,
Ubá,Minas Gerais,não,407.452,101520,115552,249.16,283.6,0.724,25255.54,
Senhora de Oliveira,Minas Gerais,não,170.749,5682,5786,33.28,33.89,0.631,11589.03,
Ouro Preto,Minas Gerais,não,1245.865,70279,74281,56.41,59.62,0.741,62208.49,
Paiva,Minas Gerais,não,58.419,1558,1529,26.67,26.17,0.720,14057.44,
Bambuí,Minas Gerais,não,1455.819,22739,23829,15.62,16.37,0.741,21982.59,
Bocaiúva,Minas Gerais,não,3206.757,46337,49979,14.45,15.59,0.700,15891.30,
Canápolis,Minas Gerais,não,844.609,11427,12150,13.53,14.39,0.722,28614.62,
Rio Pardo de Minas,Minas Gerais,não,3117.675,29087,30914,9.33,9.92,0.624,8382.15,
Arcos,Minas Gerais,não,509.873,36598,40092,71.78,78.63,0.749,30888.35,
Mariana,Minas Gerais,não,1194.208,54217,60724,45.40,50.85,0.742,48407.28,
Sabará,Minas Gerais,não,302.453,126386,136344,417.87,450.79,0.731,18562.94,
Fronteira,Minas Gerais,não,199.987,14041,18103,70.21,90.52,0.684,61932.58,
Jacuí,Minas Gerais,não,409.229,7501,7686,18.33,18.78,0.668,14048.57,
Aiuruoca,Minas Gerais,não,649.680,6158,6003,9.48,9.24,0.668,14454.94,
Andrelândia,Minas Gerais,não,1005.285,12174,12224,12.11,12.16,0.700,17494.93,
Camanducaia,Minas Gerais,não,528.688,21089,21770,39.89,41.18,0.689,27469.15,
Corinto,Minas Gerais,não,2525.397,23915,23731,9.47,9.4,0.680,12991.54,
Natércia,Minas Gerais,não,188.719,4657,4730,24.68,25.06,0.693,14089.05,
Nova Belém,Minas Gerais,não,146.775,3732,3190,25.43,21.73,0.592,10867.32,
Piumhi,Minas Gerais,não,902.468,31884,34691,35.33,38.44,0.737,25102.94,
São Tomás de Aquino,Minas Gerais,não,277.928,7092,7021,25.52,25.26,0.700,19159.53,
Urucânia,Minas Gerais,não,138.792,10291,10358,74.15,74.63,0.633,16662.93,
Frei Gaspar,Minas Gerais,não,626.672,5878,5880,9.38,9.38,0.590,8766.47,
Brasília de Minas,Minas Gerais,não,1399.484,31208,32347,22.30,23.11,0.656,9231.36,
Guidoval,Minas Gerais,não,158.375,7206,7078,45.50,44.69,0.683,13817.39,
Santana de Cataguases,Minas Gerais,não,161.486,3622,3872,22.43,23.98,0.694,10003.20,
São Tiago,Minas Gerais,não,572.400,10560,10941,18.45,19.11,0.662,14582.20,
Abre Campo,Minas Gerais,não,470.551,13311,13454,28.29,28.59,0.654,13453.99,
Santos Dumont,Minas Gerais,não,637.373,46286,46487,72.62,72.94,0.741,19047.48,
Curvelo,Minas Gerais,não,3296.200,74164,80129,22.50,24.31,0.713,18534.68,
São Domingos do Prata,Minas Gerais,não,743.768,17359,17359,23.34,23.34,0.690,13557.94,
Bom Jesus do Amparo,Minas Gerais,não,195.611,5490,6083,28.07,31.1,0.683,12581.33,
Cipotânea,Minas Gerais,não,153.479,6547,6787,42.66,44.22,0.579,7012.05,
Conceição dos Ouros,Minas Gerais,não,180.236,10231,11638,56.77,64.57,0.703,16265.11,
Barbacena,Minas Gerais,não,759.186,126282,137313,166.34,180.87,0.769,19631.86,
Dom Silvério,Minas Gerais,não,194.972,5196,5237,26.65,26.86,0.709,15462.16,
Cabo Verde,Minas Gerais,não,368.206,13822,14075,37.54,38.23,0.674,16070.03,
Iguatama,Minas Gerais,não,628.200,8028,7947,12.78,12.65,0.707,38760.07,
Itaobim,Minas Gerais,não,679.024,21002,21062,30.93,31.02,0.629,11828.33,
Porto Firme,Minas Gerais,não,284.777,10417,11279,36.58,39.61,0.634,8059.19,
Iturama,Minas Gerais,não,1404.663,34456,39263,24.53,27.95,0.747,44831.13,
Matozinhos,Minas Gerais,não,252.453,33977,37820,134.59,149.81,0.731,26866.90,
Mendes Pimentel,Minas Gerais,não,305.507,6330,6446,20.72,21.1,0.626,8547.42,
Chapada Gaúcha,Minas Gerais,não,3255.189,10807,13680,3.32,4.2,0.635,14072.00,
Rio Pomba,Minas Gerais,não,252.418,17108,17910,67.78,70.95,0.714,16637.44,
Araguari,Minas Gerais,não,2729.508,109808,117267,40.23,42.96,0.773,34840.91,
Botelhos,Minas Gerais,não,334.089,14920,14971,44.66,44.81,0.702,15303.52,
Campestre,Minas Gerais,não,577.843,20686,21055,35.80,36.44,0.698,16350.87,
Cláudio,Minas Gerais,não,630.706,25770,28617,40.86,45.37,0.709,23207.76,
Conceição do Rio Verde,Minas Gerais,não,369.681,12949,13638,35.03,36.89,0.665,15138.08,
Contagem,Minas Gerais,não,194.746,601829,663855,3090.33,3408.82,0.756,44015.99,
Coronel Pacheco,Minas Gerais,não,131.511,2982,3086,22.68,23.47,0.669,13508.70,
Elói Mendes,Minas Gerais,não,499.537,25221,28076,50.49,56.2,0.685,21398.13,
Guarani,Minas Gerais,não,264.194,8678,8911,32.85,33.73,0.677,13274.98,
João Pinheiro,Minas Gerais,não,10727.097,45268,47452,4.22,4.42,0.697,29986.86,
Nepomuceno,Minas Gerais,não,582.553,25731,26769,44.17,45.95,0.667,16427.33,
Paraguaçu,Minas Gerais,não,424.296,20243,21513,47.71,50.7,0.715,22067.09,
Passa Tempo,Minas Gerais,não,429.172,8197,8084,19.10,18.84,0.687,22551.40,
Silvianópolis,Minas Gerais,não,312.166,6027,6238,19.31,19.98,0.699,19151.35,
Virgínia,Minas Gerais,não,326.515,8623,8674,26.41,26.57,0.651,11985.16,
Campanário,Minas Gerais,não,442.398,3565,3721,8.06,8.41,0.616,10313.58,
Uberlândia,Minas Gerais,não,4115.206,604029,691305,146.78,167.99,0.789,50548.78,
Cana Verde,Minas Gerais,não,212.721,5588,5603,26.27,26.34,0.650,10977.71,
Ewbank da Câmara,Minas Gerais,não,103.834,3752,3913,36.14,37.69,0.676,10083.98,
Ipiaçu,Minas Gerais,não,466.020,4105,4221,8.81,9.06,0.696,22793.65,
Passa Quatro,Minas Gerais,não,277.221,15582,16344,56.21,58.96,0.715,22839.89,
Serra do Salitre,Minas Gerais,não,1295.272,10543,11582,8.14,8.94,0.696,30096.24,
Bicas,Minas Gerais,não,140.082,13652,14494,97.46,103.47,0.744,16973.73,
Cataguases,Minas Gerais,não,491.767,69757,75123,141.85,152.76,0.751,21059.58,
Coromandel,Minas Gerais,não,3313.116,27531,27974,8.31,8.44,0.708,31050.36,
Ibiá,Minas Gerais,não,2704.132,23228,25199,8.59,9.32,0.718,36664.73,
