Cidade,UF,Capital,Área,Pop. 2010 (hab),Pop. 2019 (hab),Dens. demo. 2010 (hab/km2),Dens. demo. 2019 (hab/km2),IDHM 2010,PIB per capita 2017 (R$),Fundação
Passo de Camaragibe,Alagoas,não,251.290,15175,15245,60.39,60.67,0.533,17228.90,
Anadia,Alagoas,não,186.134,17116,17545,91.96,94.26,0.568,7901.35,
São Sebastião,Alagoas,não,314.924,31993,34152,101.59,108.45,0.549,11064.69,
Japaratinga,Alagoas,não,85.356,7700,8361,90.22,97.95,0.570,18931.17,
Carneiros,Alagoas,não,101.853,7467,9081,73.32,89.16,0.526,6257.21,
São José da Laje,Alagoas,não,256.603,22683,23927,88.40,93.25,0.573,12458.86,
Barra de São Miguel,Alagoas,não,74.247,7340,8322,98.86,112.09,0.615,20443.58,
Feliz Deserto,Alagoas,não,110.062,5207,4754,47.31,43.19,0.565,22606.52,
Campo Grande,Alagoas,não,170.144,9184,9558,53.98,56.18,0.524,8676.19,
Satuba,Alagoas,não,41.268,14137,13828,342.57,335.08,0.660,15004.61,
Barra de Santo Antônio,Alagoas,não,131.364,13502,15932,102.79,121.28,0.557,10036.61,
Palmeira dos Índios,Alagoas,não,450.990,70101,73218,155.44,162.35,0.638,10492.27,
União dos Palmares,Alagoas,não,420.376,62316,65611,148.24,156.08,0.593,14059.68,
Canapi,Alagoas,não,602.778,18095,17722,30.02,29.4,0.506,6014.34,
Inhapi,Alagoas,não,372.019,17667,18385,47.49,49.42,0.484,6024.08,
Santa Luzia do Norte,Alagoas,não,28.857,6717,7296,232.77,252.83,0.597,20857.05,
Maribondo,Alagoas,não,180.107,14073,13264,78.14,73.65,0.597,10205.44,
Taquarana,Alagoas,não,153.841,17622,19980,114.55,129.87,0.541,13490.46,
Joaquim Gomes,Alagoas,não,298.170,22565,23993,75.68,80.47,0.531,12996.74,
Jundiá,Alagoas,não,88.793,4045,4155,45.56,46.79,0.562,10787.18,
Minador do Negrão,Alagoas,não,167.462,5270,5329,31.47,31.82,0.563,8950.82,
Palestina,Alagoas,não,38.189,3992,5011,104.55,131.22,0.558,6576.83,
Belém,Alagoas,não,66.628,6235,4344,93.58,65.2,0.593,8533.09,
Lagoa da Canoa,Alagoas,não,83.621,17253,17852,206.33,213.49,0.552,8691.98,
Messias,Alagoas,não,114.156,15727,17856,137.77,156.42,0.568,9944.49,
Olho d'Água do Casado,Alagoas,não,327.678,8614,9373,26.29,28.6,0.525,7442.93,
Major Isidoro,Alagoas,não,442.744,18431,19804,41.63,44.73,0.566,8736.97,
Cacimbinhas,Alagoas,não,281.692,10521,10858,37.35,38.55,0.531,8120.38,
Coité do Nóia,Alagoas,não,88.759,10956,10693,123.44,120.47,0.533,9413.26,
Olho d'Água Grande,Alagoas,não,117.006,4894,5123,41.83,43.78,0.503,7712.05,
São Brás,Alagoas,não,140.705,6753,6961,48.00,49.47,0.572,16370.92,
Igaci,Alagoas,não,334.346,25179,25631,75.31,76.66,0.564,7006.69,
Estrela de Alagoas,Alagoas,não,260.772,17317,18205,66.41,69.81,0.534,5692.75,
Paripueira,Alagoas,não,92.788,11324,13176,122.05,142.0,0.605,11325.91,
Pindoba,Alagoas,não,117.086,2853,2908,24.37,24.84,0.574,11035.43,
Viçosa,Alagoas,não,367.888,27223,25733,74.00,69.95,0.586,11296.71,
Capela,Alagoas,não,263.735,18564,17053,70.39,64.66,0.573,10290.23,
Arapiraca,Alagoas,não,345.655,207679,231747,600.83,670.46,0.649,17511.69,
Jacaré dos Homens,Alagoas,não,148.992,5666,5253,38.03,35.26,0.583,9754.28,
Boca da Mata,Alagoas,não,193.002,26670,27281,138.19,141.35,0.604,9741.80,
Coqueiro Seco,Alagoas,não,39.608,5509,5845,139.09,147.57,0.586,11301.31,
Marechal Deodoro,Alagoas,não,340.980,47266,51901,138.62,152.21,0.642,36362.94,
Porto Real do Colégio,Alagoas,não,238.182,19145,20066,80.38,84.25,0.551,9498.25,
Ibateguara,Alagoas,não,265.312,15149,15616,57.10,58.86,0.518,8892.12,
Campestre,Alagoas,não,65.910,6550,6936,99.39,105.23,0.559,9101.63,
Novo Lino,Alagoas,não,215.547,11137,12690,51.67,58.87,0.521,11368.89,
Tanque d'Arca,Alagoas,não,124.617,5890,6162,47.27,49.45,0.555,7926.33,
Olho d'Água das Flores,Alagoas,não,191.656,21275,21688,111.01,113.16,0.565,8784.28,
